file,type,test_file,tokens_per_sample,tokens_per_surface_char,tokens_per_original_char,total_tokens,total_chars,total_original_chars,morph_score,valid_tokens,checked_tokens,invalid_tokens,skipped_punctuation_tokens,overlap,chars_per_token,bytes_per_token,chars_per_byte,bytes_per_original_char
chinese_origin_subset100k_superbpe_64000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,312.83497693475186,0.5448227627056512,0.5448227627056512,41841991,76799271,76799271,0.8680910357012898,19273332,22201971,2928639,7650644,0.0,1.8354592877762437,4.722131315405139,0.3886929789072943,2.5727246291178987
pinyin_diacritic_subset100k_superbpe_64000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,343.3604832861063,0.17245947671659276,0.5979849470185726,45924808,266293328,76799271,0.9698994746763565,34617557,35691902,1074345,8925595,0.0,5.798463610343237,7.09050507081053,0.8177786423443603,4.240015299103555
pinyin_toned_subset100k_superbpe_64000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,330.3162742708466,0.13683927220866024,0.5752675959645502,44180132,322861495,76799271,0.9702630043381417,33064579,34077955,1013376,8946110,0.0,7.30784360264021,7.370170102705895,0.9915434109122118,4.2398200368334225
pinyin_toneless_subset100k_superbpe_64000,toneless,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toneless_spaced_test10.txt,320.0353193620982,0.16074395975854117,0.5573626343406306,42805044,266293328,76799271,0.9694758925679534,31745936,32745462,999526,8875084,0.0,6.221073572544395,6.285402276423311,0.9897653799948151,3.5032483706778934
