model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
BAAI/bge-small-zh-v1.5,2,N=2,1656,0.3981,0.3687,0.6457,0.8333,shi4 she4 (N=2),0.0425,zhang4 hu4 (N=2),equal-weight mean over filtered N=2 collision groups
BAAI/bge-small-zh-v1.5,3,N=3,198,0.4297,0.4264,0.5889,0.703,he2 li3 (N=3),0.1752,wu2 xu1 (N=3),equal-weight mean over filtered N=3 collision groups
BAAI/bge-small-zh-v1.5,4,N=4,30,0.443,0.4748,0.574,0.6436,qi2 shi4 (N=4),0.2085,ta1 men de (N=4),equal-weight mean over filtered N=4 collision groups
BAAI/bge-small-zh-v1.5,5,N=5,11,0.4551,0.4601,0.5478,0.5586,shi4 ji4 (N=5),0.3416,zhong1 shi4 (N=5),equal-weight mean over filtered N=5 collision groups
BAAI/bge-small-zh-v1.5,6,N=6,3,0.4853,0.4934,0.5091,0.513,zheng4 shi4 (N=6),0.4496,shi4 wei4 (N=6),equal-weight mean over filtered N=6 collision groups
BAAI/bge-small-zh-v1.5,8,N=8,1,0.4528,0.4528,0.4528,0.4528,shi4 de (N=8),0.4528,shi4 de (N=8),equal-weight mean over filtered N=8 collision groups
BAAI/bge-small-zh-v1.5,ALL,ALL,1899,0.4026,0.379,0.6414,0.8333,shi4 she4 (N=2),0.0425,zhang4 hu4 (N=2),equal-weight mean over filtered N>1 collision groups
