model,baseline,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair
BAAI/bge-small-zh-v1.5,collision_source_random_pairs,10000,0.6286,0.6385,0.7143,0.8373,大绶|路站,0.2021,一区|此区
BAAI/bge-small-zh-v1.5,chinese_vocab_random_pairs,10000,0.65,0.6592,0.7405,0.8901,悖论|花莲,0.1881,汽油|汽油弹
