model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,2,N=2,1656,0.431,0.4449,0.6391,0.9099,de2 yi3 (N=2),0.0164,huo4 qi2 ta1 (N=2),equal-weight mean over filtered N=2 collision groups
shibing624/text2vec-base-chinese,3,N=3,198,0.4554,0.4642,0.6038,0.7103,yi1 fu2 (N=3),0.0904,dan4 ta1 (N=3),equal-weight mean over filtered N=3 collision groups
shibing624/text2vec-base-chinese,4,N=4,30,0.4565,0.5032,0.5888,0.6659,qi2 shi4 (N=4),0.1837,ai4 li4 (N=4),equal-weight mean over filtered N=4 collision groups
shibing624/text2vec-base-chinese,5,N=5,11,0.4729,0.4652,0.5329,0.5487,xian4 zhi4 (N=5),0.4027,shi4 he2 (N=5),equal-weight mean over filtered N=5 collision groups
shibing624/text2vec-base-chinese,6,N=6,3,0.53,0.5556,0.5608,0.5621,zheng4 shi4 (N=6),0.4724,shi4 wei4 (N=6),equal-weight mean over filtered N=6 collision groups
shibing624/text2vec-base-chinese,8,N=8,1,0.4323,0.4323,0.4323,0.4323,shi4 de (N=8),0.4323,shi4 de (N=8),equal-weight mean over filtered N=8 collision groups
shibing624/text2vec-base-chinese,ALL,ALL,1899,0.4343,0.4497,0.6358,0.9099,de2 yi3 (N=2),0.0164,huo4 qi2 ta1 (N=2),equal-weight mean over filtered N>1 collision groups
