N,pair_index_within_N,c_token,source_token_count_for_pair,a_tokens_json
2,105,bu4 bian4,2,"[""不便"", ""不变""]"
2,106,bu4 da2,2,"[""不达"", ""布达""]"
2,107,bu4 dan1,2,"[""不丹"", ""不单""]"
2,108,bu4 dao4,2,"[""布道"", ""步道""]"
2,109,bu4 fen4,2,"[""部份"", ""部分""]"
2,110,bu4 fu2,2,"[""不服"", ""不符""]"
2,111,bu4 jia1,2,"[""不佳"", ""不加""]"
2,112,bu4 jun1,2,"[""不均"", ""步军""]"
2,113,bu4 lai2,2,"[""不来"", ""布莱""]"
2,114,bu4 li3,2,"[""不理"", ""布里""]"
2,115,bu4 liang2,2,"[""不良"", ""布良""]"
2,116,bu4 liao4,2,"[""不料"", ""布料""]"
2,117,bu4 lun2,2,"[""不伦"", ""布伦""]"
2,118,bu4 luo4,2,"[""布洛"", ""部落""]"
2,119,bu4 man3,2,"[""不满"", ""布满""]"
2,120,bu4 neng2 zai4,2,"[""不能再"", ""不能在""]"
2,121,bu4 qu1,2,"[""不屈"", ""部曲""]"
2,122,bu4 ru4,2,"[""不入"", ""步入""]"
2,123,bu4 she4,2,"[""不设"", ""布设""]"
2,124,bu4 shen4,2,"[""不慎"", ""不甚""]"
2,125,bu4 shi1,2,"[""不失"", ""布施""]"
2,126,bu4 shi2,2,"[""不实"", ""不时""]"
2,127,bu4 shu3,2,"[""部属"", ""部署""]"
2,128,bu4 xia4,2,"[""不下"", ""部下""]"
2,129,bu4 xing2,2,"[""不行"", ""步行""]"
2,130,bu4 yi1,2,"[""不一"", ""布依""]"
2,131,bu4 yi3,2,"[""不以"", ""不已""]"
2,132,bu4 zhang3,2,"[""不长"", ""部长""]"
2,133,bu4 zhen4,2,"[""不振"", ""布阵""]"
2,134,bu4 zhi3,2,"[""不只"", ""不止""]"
2,135,bu4 zhi4,2,"[""不治"", ""布置""]"
2,136,bu4 zu2,2,"[""不足"", ""部族""]"
2,137,bu4 zuo4,2,"[""不作"", ""不做""]"
2,138,cai2 wu4,2,"[""财务"", ""财物""]"
2,139,cai4,2,"[""菜"", ""蔡""]"
2,140,can1,2,"[""参"", ""餐""]"
2,141,cao1,2,"[""操"", ""糙""]"
2,142,ceng2,2,"[""层"", ""曾""]"
2,143,ceng2 wei4,2,"[""层为"", ""曾为""]"
2,144,ceng2 yin1,2,"[""曾因"", ""曾荫""]"
2,145,cha1,2,"[""叉"", ""插""]"
2,146,cha4,2,"[""岔"", ""差""]"
2,147,chai2,2,"[""侪"", ""柴""]"
2,148,chan4,2,"[""忏"", ""颤""]"
2,149,chang2 bei4,2,"[""常备"", ""常被""]"
2,150,chang2 nian2,2,"[""常年"", ""长年""]"
2,151,chang2 shi2,2,"[""常识"", ""长石""]"
2,152,chang2 shi4,2,"[""尝试"", ""常侍""]"
2,153,chang2 zhu4,2,"[""常住"", ""常驻""]"
2,154,chang3 de,2,"[""厂的"", ""场的""]"
2,155,chang3 he2,2,"[""场合"", ""场和""]"
2,156,chao3,2,"[""吵"", ""炒""]"
2,157,che4 xiao1,2,"[""撤消"", ""撤销""]"
2,158,chen1,2,"[""琛"", ""郴""]"
2,159,chen2 jia1,2,"[""陈嘉"", ""陈家""]"
2,160,chen2 mo4,2,"[""沉没"", ""沉默""]"
2,161,chen2 shi4,2,"[""陈世"", ""陈氏""]"
2,162,chen2 xiao3,2,"[""陈小"", ""陈晓""]"
2,163,chen2 yi4,2,"[""陈奕"", ""陈毅""]"
2,164,chen4,2,"[""衬"", ""趁""]"
2,165,cheng1,2,"[""撑"", ""称""]"
2,166,cheng1 zuo4,2,"[""称作"", ""称做""]"
2,167,cheng2 de,2,"[""城的"", ""成的""]"
2,168,cheng2 fen4,2,"[""成份"", ""成分""]"
2,169,cheng2 ji1,2,"[""乘机"", ""乘积""]"
2,170,cheng2 jiao1,2,"[""城郊"", ""成交""]"
2,171,cheng2 ren2,2,"[""城人"", ""成人""]"
2,172,cheng2 shi4,2,"[""城市"", ""程式""]"
2,173,cheng2 xian4,2,"[""呈现"", ""城县""]"
2,174,cheng2 xiang4,2,"[""丞相"", ""成像""]"
2,175,cheng2 xing2,2,"[""成型"", ""成形""]"
2,176,cheng2 zhi4,2,"[""惩治"", ""承志""]"
2,177,chi1,2,"[""吃"", ""痴""]"
2,178,chong1 ji1,2,"[""冲击"", ""冲积""]"
2,179,chong2,2,"[""崇"", ""虫""]"
2,180,chu1,2,"[""出"", ""初""]"
2,181,chu1 ban3,2,"[""出版"", ""初版""]"
2,182,chu1 chang3,2,"[""出厂"", ""出场""]"
2,183,chu1 de,2,"[""出的"", ""初的""]"
2,184,chu1 jing4,2,"[""出境"", ""出镜""]"
2,185,chu1 ming2,2,"[""出名"", ""初名""]"
2,186,chu1 ren4,2,"[""出任"", ""初任""]"
2,187,chu1 shi3,2,"[""出使"", ""初始""]"
2,188,chu1 shou4,2,"[""出售"", ""初授""]"
2,189,chu1 wei4,2,"[""出为"", ""初为""]"
2,190,chu1 xian4,2,"[""出现"", ""出线""]"
2,191,chu1 xuan3,2,"[""出选"", ""初选""]"
2,192,chu1 yi1,2,"[""出一"", ""初一""]"
2,193,chu1 zhan4,2,"[""出战"", ""出站""]"
2,194,chu1 zhong1,2,"[""初中"", ""初衷""]"
2,195,chu3 yu2,2,"[""处于"", ""楚瑜""]"
2,196,chu4 ji2,2,"[""处级"", ""触及""]"
2,197,chuan1 shang4,2,"[""川上"", ""穿上""]"
