file,type,test_file,tokens_per_sample,tokens_per_surface_char,tokens_per_original_char,total_tokens,total_chars,total_original_chars,morph_score,valid_tokens,checked_tokens,invalid_tokens,skipped_punctuation_tokens,overlap,chars_per_token,bytes_per_token,chars_per_byte,bytes_per_original_char
chinese_origin_subset100k_superbpe_64000,origin,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/chinese_origin_中国_test10.txt,312.835246091618,0.5448232314601007,0.5448232314601007,41842027,76799271,76799271,0.8681075212984727,19273369,22201592,2928223,7650602,0.0,1.8354577085856763,4.7221272525826725,0.3886929789072943,2.5727246291178987
pinyin_diacritic_subset100k_superbpe_64000,diacritic,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_diacritic_spaced_test10.txt,342.87729437536916,0.17221678569430773,0.5971434416350124,45860181,266293328,76799271,0.972574342079751,34635937,35612637,976700,9002983,0.0,5.8066349105774355,7.1004971393375005,0.8177786423443603,4.240015299103555
pinyin_toned_subset100k_superbpe_64000,toned,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toned_spaced_test10.txt,342.91369784151146,0.1420579744264642,0.597206840674308,45865050,322861495,76799271,0.9725568167120359,34701721,35680919,979198,9005185,0.0,7.039379549351849,7.099416396580839,0.9915434109122118,4.2398200368334225
pinyin_toneless_subset100k_superbpe_64000,toneless,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/corpora/pinyin_toneless_spaced_test10.txt,327.5111363653356,0.1644988341577976,0.5703822631337216,43804942,266293328,76799271,0.9717235978096596,32893455,33850629,957174,8904386,0.0,6.079070439129905,6.14193076662446,0.9897653799948151,3.5032483706778934
