converted_hangul,group_size,exists_in_hangulized_vocab,mixed_tokens_joined,train_frequency_sum,dev_frequency_sum
아,27,True,丫 / 亞 / 俄 / 兒 / 哦 / 啞 / 娥 / 婭 / 峨 / 峩 / 我 / 枒 / 椏 / 牙 / 猗 / 疴 / 芽 / 莪 / 蛾 / 衙 / 訝 / 迓 / 阿 / 雅 / 餓 / 鴉 / 鵝,5081,557
동,26,True,仝 / 侗 / 僮 / 冬 / 凍 / 動 / 同 / 峒 / 彤 / 憧 / 朣 / 東 / 桐 / 棟 / 洞 / 潼 / 烔 / 疼 / 瞳 / 童 / 胴 / 艟 / 董 / 蕫 / 銅 / 錬,7793,870
미,26,True,亹 / 味 / 娓 / 媚 / 尾 / 嵋 / 弭 / 彌 / 微 / 未 / 梶 / 楣 / 渼 / 瀰 / 眉 / 米 / 糜 / 縻 / 美 / 薇 / 蘼 / 謎 / 迷 / 靡 / 麋 / 黴,4808,528
거,26,True,倨 / 去 / 呿 / 居 / 巨 / 拒 / 据 / 據 / 擧 / 渠 / 炬 / 祛 / 秬 / 胠 / 苣 / 莒 / 蕖 / 蘧 / 袪 / 裾 / 距 / 踞 / 遽 / 鉅 / 鋸 / 駏,4182,465
파,26,True,叵 / 坡 / 婆 / 岥 / 巴 / 怕 / 把 / 播 / 擺 / 杷 / 波 / 派 / 灞 / 爬 / 玻 / 琶 / 皤 / 破 / 笆 / 簸 / 罷 / 耙 / 芭 / 葩 / 跛 / 頗,2875,328
순,26,True,峋 / 巡 / 徇 / 循 / 旬 / 楯 / 殉 / 洵 / 淳 / 狥 / 珣 / 盾 / 瞬 / 筍 / 純 / 脣 / 舜 / 荀 / 蓴 / 蕣 / 詢 / 諄 / 醇 / 順 / 馴 / 鶉,2201,264
준,26,True,俊 / 僎 / 儁 / 准 / 凖 / 埈 / 尊 / 峻 / 撙 / 晙 / 樽 / 浚 / 準 / 濬 / 畯 / 皴 / 睃 / 竣 / 罇 / 蠢 / 蹲 / 逡 / 遵 / 餕 / 駿 / 鱒,1705,230
나,26,True,儸 / 儺 / 喇 / 囉 / 懦 / 懶 / 拏 / 拿 / 挐 / 挪 / 摞 / 柰 / 瘰 / 癩 / 砢 / 糯 / 羅 / 蓏 / 蘿 / 螺 / 裸 / 覶 / 邏 / 那 / 鑼 / 騾,1266,142
관,25,True,丱 / 冠 / 官 / 寛 / 寬 / 慣 / 梡 / 棺 / 款 / 灌 / 琯 / 瓘 / 盥 / 祼 / 窾 / 管 / 綰 / 罐 / 舘 / 菅 / 觀 / 貫 / 關 / 顴 / 館,5644,626
개,25,True,介 / 价 / 個 / 凱 / 剴 / 匃 / 塏 / 愷 / 愾 / 慨 / 揩 / 改 / 槩 / 槪 / 漑 / 玠 / 疥 / 皆 / 盖 / 箇 / 芥 / 蓋 / 鎧 / 開 / 闓,5311,583
단,25,True,丹 / 亶 / 但 / 單 / 團 / 壇 / 慱 / 担 / 斷 / 旦 / 檀 / 段 / 湍 / 癉 / 短 / 端 / 簞 / 緞 / 耑 / 胆 / 腶 / 蛋 / 蜑 / 袒 / 鍛,4373,534
만,25,True,万 / 卍 / 娩 / 巒 / 幔 / 彎 / 慢 / 挽 / 晚 / 晩 / 曼 / 滿 / 漫 / 灣 / 瞞 / 縵 / 萬 / 蔓 / 蠻 / 謾 / 蹣 / 輓 / 鏝 / 饅 / 鰻,3879,436
분,25,True,体 / 分 / 吩 / 噴 / 坌 / 墳 / 奔 / 奮 / 忿 / 憤 / 扮 / 枌 / 氛 / 汾 / 湓 / 濆 / 焚 / 犇 / 盆 / 笨 / 粉 / 糞 / 紛 / 芬 / 雰,3636,363
환,25,True,丸 / 喚 / 圜 / 奐 / 宦 / 寰 / 幻 / 患 / 懽 / 換 / 晥 / 桓 / 歡 / 渙 / 煥 / 環 / 瓛 / 皖 / 紈 / 豢 / 還 / 鍰 / 驩 / 鬟 / 鰥,2918,350
의,24,True,依 / 倚 / 儀 / 宜 / 嶷 / 意 / 懿 / 擬 / 椅 / 欹 / 毅 / 漪 / 疑 / 矣 / 礒 / 義 / 艤 / 薏 / 蟻 / 衣 / 誼 / 議 / 醫 / 饐,7000,822
해,24,True,亥 / 偕 / 咳 / 垓 / 奚 / 孩 / 害 / 廨 / 懈 / 楷 / 海 / 瀣 / 薤 / 蟹 / 解 / 該 / 諧 / 邂 / 醢 / 陔 / 頦 / 駭 / 骸 / 鮭,4600,548
한,24,True,僩 / 嫺 / 嫻 / 寒 / 恨 / 悍 / 扞 / 捍 / 旱 / 暵 / 汗 / 漢 / 澖 / 澣 / 瀚 / 罕 / 翰 / 閈 / 閑 / 閒 / 限 / 韓 / 鷳 / 鼾,4318,524
회,24,True,匯 / 回 / 廻 / 徊 / 恢 / 悔 / 懷 / 晦 / 會 / 栃 / 檜 / 淮 / 滙 / 澮 / 灰 / 獪 / 繪 / 膾 / 蛔 / 詼 / 誨 / 賄 / 迴 / 頮,4358,501
복,24,True,伏 / 僕 / 匐 / 卜 / 宓 / 幞 / 復 / 扑 / 服 / 濮 / 福 / 腹 / 茯 / 菔 / 蔔 / 蝠 / 蝮 / 複 / 覆 / 蹼 / 輻 / 馥 / 鰒 / 鵩,3627,382
황,24,True,凰 / 幌 / 徨 / 怳 / 恍 / 惶 / 慌 / 晃 / 況 / 湟 / 滉 / 潢 / 煌 / 璜 / 皇 / 篁 / 簧 / 肓 / 荒 / 蝗 / 貺 / 遑 / 隍 / 黃,2466,300
공,23,True,供 / 倥 / 公 / 共 / 功 / 孔 / 崆 / 工 / 恐 / 恭 / 拱 / 控 / 攻 / 栱 / 槓 / 珙 / 空 / 蚣 / 蛩 / 貢 / 跫 / 鞏 / 龔,5900,680
천,23,True,倩 / 喘 / 天 / 川 / 擅 / 泉 / 淺 / 濺 / 瓩 / 穿 / 粁 / 舛 / 芊 / 茜 / 荐 / 蕆 / 薦 / 蚕 / 賤 / 踐 / 遷 / 闡 / 韆,4505,502
배,23,True,俳 / 倍 / 坏 / 坯 / 培 / 徘 / 拜 / 排 / 杯 / 湃 / 焙 / 琲 / 盃 / 背 / 胚 / 蓓 / 裴 / 裵 / 褙 / 賠 / 輩 / 配 / 陪,2516,282
타,23,True,他 / 佗 / 咤 / 唾 / 墮 / 妥 / 惰 / 打 / 拕 / 拖 / 朶 / 柁 / 楕 / 橢 / 沱 / 舵 / 跎 / 躱 / 陀 / 馱 / 駝 / 駞 / 鼉,2204,238
규,23,True,刲 / 叫 / 圭 / 奎 / 嬀 / 揆 / 槻 / 珪 / 睽 / 硅 / 窺 / 竅 / 糺 / 糾 / 葵 / 虯 / 規 / 赳 / 跬 / 逵 / 閨 / 馗 / 騤,1293,185
무,22,True,務 / 巫 / 廡 / 憮 / 懋 / 戊 / 拇 / 撫 / 无 / 楙 / 武 / 毋 / 無 / 繆 / 舞 / 茂 / 蕪 / 誣 / 貿 / 霧 / 騖 / 鵡,6100,714
종,22,True,倧 / 宗 / 從 / 悰 / 慫 / 棕 / 椶 / 樅 / 淙 / 琮 / 瘇 / 種 / 終 / 綜 / 縱 / 腫 / 螽 / 踪 / 踵 / 蹤 / 鍾 / 鐘,4535,501
애,22,True,厓 / 哀 / 埃 / 崕 / 崖 / 愛 / 捱 / 曖 / 欸 / 涯 / 皚 / 睚 / 瞹 / 碍 / 磑 / 礙 / 艾 / 藹 / 隘 / 靄 / 靉 / 騃,2026,213
형,22,True,亨 / 兄 / 刑 / 型 / 夐 / 形 / 桁 / 泂 / 滎 / 瀅 / 炯 / 熒 / 珩 / 荊 / 螢 / 衡 / 詗 / 迥 / 逈 / 邢 / 鎣 / 馨,2406,212
척,22,True,倜 / 剔 / 呎 / 尺 / 惕 / 慼 / 慽 / 戚 / 拓 / 捗 / 摭 / 擲 / 斥 / 滌 / 瘠 / 脊 / 蜴 / 跖 / 蹠 / 躑 / 陟 / 隻,1701,208
빈,22,True,份 / 儐 / 嚬 / 嬪 / 彬 / 擯 / 斌 / 檳 / 殯 / 濱 / 瀕 / 牝 / 玭 / 繽 / 臏 / 蘋 / 貧 / 賓 / 頻 / 顰 / 鬂 / 鬢,954,123
대,21,True,代 / 儓 / 坮 / 垈 / 大 / 對 / 岱 / 帶 / 待 / 懟 / 戴 / 抬 / 擡 / 旲 / 玳 / 碓 / 臺 / 袋 / 貸 / 隊 / 黛,9712,1188
차,21,True,且 / 侘 / 借 / 偖 / 叉 / 嗟 / 姹 / 岔 / 嵯 / 差 / 杈 / 槎 / 次 / 此 / 硨 / 磋 / 箚 / 蹉 / 車 / 遮 / 釵,8461,952
역,21,True,亦 / 力 / 域 / 役 / 易 / 曆 / 櫟 / 櫪 / 歷 / 瀝 / 疫 / 癧 / 礫 / 繹 / 譯 / 轢 / 逆 / 酈 / 閾 / 靂 / 驛,5680,684
산,21,True,傘 / 刪 / 姍 / 孿 / 山 / 散 / 毿 / 汕 / 澘 / 狻 / 珊 / 產 / 産 / 算 / 繖 / 蒜 / 訕 / 酸 / 鏟 / 閊 / 霰,4559,533
박,21,True,亳 / 剝 / 博 / 拍 / 搏 / 撲 / 朴 / 樸 / 泊 / 珀 / 璞 / 箔 / 粕 / 縛 / 膊 / 舶 / 薄 / 迫 / 鎛 / 雹 / 駁,2758,303
담,21,True,啖 / 啗 / 噉 / 壜 / 憺 / 擔 / 曇 / 淡 / 湛 / 潭 / 澹 / 痰 / 聃 / 膽 / 蕁 / 覃 / 談 / 譚 / 郯 / 錟 / 黮,1416,148
찬,21,True,撰 / 攛 / 攢 / 欑 / 燦 / 爨 / 璨 / 瓚 / 竄 / 簒 / 粲 / 纂 / 纘 / 讃 / 讚 / 賛 / 贊 / 趲 / 鑽 / 餐 / 饌,1002,116
탁,21,True,倬 / 卓 / 啄 / 坼 / 托 / 拆 / 擢 / 柝 / 槖 / 橐 / 涿 / 濁 / 濯 / 琢 / 琸 / 籜 / 蘀 / 託 / 踔 / 逴 / 鐸,943,108
재,20,True,再 / 哉 / 在 / 宰 / 才 / 材 / 栽 / 梓 / 榟 / 渽 / 滓 / 災 / 灾 / 縡 / 纔 / 裁 / 財 / 載 / 齋 / 齎,5768,650
현,20,True,俔 / 儇 / 峴 / 弦 / 懸 / 泫 / 炫 / 玄 / 玹 / 現 / 眩 / 絃 / 絢 / 縣 / 舷 / 蜆 / 衒 / 賢 / 鉉 / 顯,3360,461
석,20,True,夕 / 奭 / 席 / 惜 / 昔 / 晰 / 晳 / 析 / 汐 / 淅 / 潟 / 石 / 碩 / 腊 / 舃 / 蓆 / 蜥 / 釋 / 錫 / 石礆,3559,383
완,20,True,刓 / 婉 / 完 / 宛 / 忨 / 惋 / 椀 / 浣 / 玩 / 琓 / 琬 / 碗 / 緩 / 翫 / 脘 / 腕 / 莞 / 豌 / 阮 / 頑,1096,162
참,20,True,僭 / 儳 / 叅 / 塹 / 嶄 / 巉 / 慘 / 慙 / 慚 / 懺 / 攙 / 斬 / 槧 / 欃 / 站 / 譖 / 讒 / 讖 / 饞 / 驂,772,88
당,19,True,倘 / 儻 / 党 / 唐 / 堂 / 塘 / 幢 / 戇 / 搪 / 撞 / 棠 / 當 / 瞠 / 糖 / 螳 / 讜 / 鏜 / 鐺 / 黨,3633,446
후,19,True,侯 / 候 / 厚 / 后 / 吼 / 喉 / 喣 / 嗅 / 垕 / 堠 / 帿 / 後 / 朽 / 涸 / 煦 / 猴 / 詡 / 逅 / 酗,3122,357
과,19,True,堝 / 夥 / 夸 / 寡 / 戈 / 撾 / 果 / 瓜 / 科 / 窠 / 菓 / 蝌 / 裹 / 誇 / 課 / 跨 / 過 / 鍋 / 顆,3227,347
봉,19,True,丰 / 俸 / 奉 / 封 / 峯 / 峰 / 捧 / 棒 / 烽 / 熢 / 琫 / 篷 / 綘 / 縫 / 蓬 / 蜂 / 逢 / 鋒 / 鳳,2427,294
매,19,True,呆 / 埋 / 妹 / 媒 / 寐 / 昧 / 枚 / 梅 / 每 / 沬 / 煤 / 眛 / 罵 / 苺 / 莓 / 買 / 賣 / 邁 / 魅,2539,287
성,18,True,城 / 姓 / 性 / 惺 / 成 / 星 / 晟 / 猩 / 珹 / 盛 / 省 / 筬 / 聖 / 聲 / 腥 / 誠 / 醒 / 騂,9730,1055
화,18,True,化 / 和 / 嘩 / 嬅 / 擭 / 樺 / 火 / 畫 / 畵 / 禍 / 禾 / 花 / 華 / 話 / 譁 / 貨 / 靴 / 龢,6055,691
하,18,True,下 / 何 / 厦 / 呀 / 嚇 / 夏 / 廈 / 河 / 煆 / 瑕 / 罅 / 荷 / 蝦 / 賀 / 遐 / 鍜 / 霞 / 鰕,5548,619
병,18,True,丙 / 並 / 倂 / 兵 / 塀 / 屛 / 幷 / 昞 / 昺 / 柄 / 棅 / 炳 / 甁 / 病 / 秉 / 竝 / 迸 / 騈,4149,562
보,18,True,保 / 堡 / 報 / 寶 / 普 / 步 / 洑 / 湺 / 溥 / 甫 / 簠 / 菩 / 葆 / 補 / 褓 / 譜 / 輔 / 黼,3598,481
점,18,True,佔 / 占 / 坫 / 墊 / 岾 / 店 / 漸 / 点 / 玷 / 簟 / 粘 / 苫 / 蛅 / 覘 / 霑 / 鮎 / 黏 / 點,2404,259
누,18,True,僂 / 壘 / 婁 / 屢 / 樓 / 淚 / 漏 / 瘻 / 累 / 縷 / 耨 / 耬 / 蔞 / 螻 / 褸 / 鏤 / 陋 / 髏,1434,149
협,18,True,俠 / 冾 / 協 / 叶 / 埉 / 夾 / 峽 / 恊 / 愜 / 挾 / 浹 / 狹 / 篋 / 脅 / 脇 / 莢 / 鋏 / 頰,921,120
낭,18,True,囊 / 娘 / 廊 / 曩 / 朗 / 榔 / 浪 / 烺 / 狼 / 琅 / 瑯 / 稂 / 莨 / 蜋 / 螂 / 郎 / 郞 / 閬,951,107
곤,18,True,困 / 坤 / 崐 / 崑 / 悃 / 捆 / 昆 / 梱 / 棍 / 滾 / 琨 / 袞 / 褌 / 錕 / 閫 / 髡 / 鯀 / 鯤,378,58
난,17,True,亂 / 卵 / 嬾 / 攔 / 斕 / 暖 / 欄 / 欒 / 瀾 / 煖 / 爛 / 蘭 / 赧 / 鑾 / 闌 / 難 / 鸞,3283,433
설,17,True,偰 / 卨 / 屑 / 楔 / 泄 / 洩 / 渫 / 爇 / 碟 / 稧 / 舌 / 薛 / 褻 / 設 / 說 / 雪 / 齧,3112,345
견,17,True,堅 / 樫 / 牽 / 犬 / 狷 / 甄 / 畎 / 絹 / 縳 / 繭 / 繾 / 蠲 / 見 / 譴 / 遣 / 鰹 / 鵑,2771,324
근,17,True,僅 / 勤 / 堇 / 懃 / 斤 / 根 / 槿 / 瑾 / 筋 / 芹 / 菫 / 覲 / 謹 / 跟 / 近 / 靳 / 饉,3054,301
두,17,True,兜 / 抖 / 斁 / 斗 / 杜 / 枓 / 痘 / 竇 / 肚 / 脰 / 荳 / 蚪 / 蠹 / 豆 / 逗 / 阧 / 頭,2059,265
태,17,True,兌 / 台 / 太 / 怠 / 態 / 殆 / 汰 / 泰 / 笞 / 胎 / 苔 / 迨 / 邰 / 颱 / 駄 / 駘 / 鮐,2334,261
남,17,True,南 / 喃 / 婪 / 嵐 / 擥 / 攬 / 柟 / 楠 / 欖 / 湳 / 濫 / 男 / 籃 / 纜 / 藍 / 襤 / 覽,2334,234
항,17,True,亢 / 伉 / 夯 / 姮 / 嫦 / 巷 / 恆 / 恒 / 抗 / 杭 / 沆 / 港 / 缸 / 肛 / 航 / 項 / 頏,1582,204
철,17,True,凸 / 哲 / 啜 / 喆 / 徹 / 惙 / 掇 / 撤 / 歠 / 澈 / 綴 / 輟 / 轍 / 鉄 / 銕 / 鐵 / 餮,1654,196
악,17,True,喔 / 噩 / 堊 / 岳 / 嶽 / 幄 / 惡 / 愕 / 握 / 渥 / 萼 / 諤 / 鍔 / 顎 / 鰐 / 齶 / 齷,1540,176
뇌,17,True,儡 / 惱 / 瀨 / 牢 / 磊 / 礧 / 籟 / 罍 / 耒 / 腦 / 蕾 / 賂 / 賚 / 賴 / 酹 / 雷 / 餒,1199,176
질,17,True,侄 / 叱 / 垤 / 姪 / 嫉 / 帙 / 桎 / 疾 / 秩 / 窒 / 絰 / 膣 / 蛭 / 質 / 跌 / 迭 / 郅,1336,160
묘,17,True,卯 / 墓 / 妙 / 廟 / 描 / 昴 / 杳 / 淼 / 渺 / 猫 / 畝 / 眇 / 竗 / 苗 / 藐 / 貓 / 錨,1261,119
문,16,True,們 / 刎 / 匁 / 吻 / 問 / 懣 / 抆 / 捫 / 文 / 汶 / 玧 / 紊 / 紋 / 聞 / 蚊 / 門,5502,628
식,16,True,喰 / 埴 / 媳 / 寔 / 式 / 息 / 拭 / 植 / 殖 / 湜 / 熄 / 蝕 / 識 / 軾 / 食 / 飾,4278,607
임,16,True,任 / 壬 / 妊 / 姙 / 恁 / 林 / 淋 / 琳 / 痳 / 稔 / 臨 / 荏 / 衽 / 賃 / 霖 / 飪,2638,340
체,16,True,剃 / 彘 / 替 / 涕 / 滯 / 砌 / 締 / 蒂 / 蔕 / 蕞 / 諦 / 軆 / 逮 / 遞 / 靆 / 體,2139,273
취,16,True,取 / 吹 / 嘴 / 娶 / 就 / 橇 / 毳 / 炊 / 翠 / 聚 / 脆 / 臭 / 趣 / 醉 / 驟 / 鷲,2962,270
작,16,True,作 / 勺 / 嚼 / 怍 / 斫 / 昨 / 柞 / 灼 / 炸 / 爵 / 綽 / 芍 / 酌 / 雀 / 鵲 / 働作,2356,212
총,16,True,冢 / 叢 / 塚 / 寵 / 悤 / 憁 / 摠 / 総 / 總 / 聰 / 葱 / 蓯 / 蔥 / 銃 / 鏦 / 驄,1461,195
농,16,True,儂 / 壟 / 弄 / 攏 / 朧 / 濃 / 瀧 / 瓏 / 礱 / 穠 / 聾 / 膿 / 蘢 / 農 / 醲 / 隴,1264,135
온,16,True,媼 / 慍 / 昷 / 榲 / 氳 / 溫 / 瑥 / 瘟 / 穩 / 縕 / 薀 / 蘊 / 醞 / 韞 / 馧 / 鰮,732,86
금,15,True,今 / 唫 / 噤 / 擒 / 昑 / 檎 / 琴 / 禁 / 禽 / 芩 / 衾 / 衿 / 襟 / 金 / 錦,6536,809
민,15,True,悶 / 愍 / 憫 / 敏 / 旻 / 暋 / 民 / 泯 / 玟 / 珉 / 緡 / 脗 / 閔 / 閩 / 黽,2655,333
망,15,True,亡 / 妄 / 忘 / 忙 / 惘 / 望 / 網 / 罔 / 芒 / 茫 / 莽 / 莾 / 蟒 / 邙 / 魍,2801,315
광,15,True,侊 / 光 / 匡 / 壙 / 廣 / 曠 / 洸 / 狂 / 珖 / 磺 / 筐 / 纊 / 胱 / 誑 / 鑛,2519,263
편,15,True,偏 / 匾 / 徧 / 扁 / 片 / 篇 / 編 / 緶 / 翩 / 萹 / 蝙 / 褊 / 遍 / 鞭 / 騙,1706,168
표,15,True,俵 / 剽 / 彪 / 慓 / 杓 / 標 / 漂 / 瓢 / 票 / 縹 / 表 / 豹 / 飄 / 飇 / 鰾,1581,164
숙,15,True,俶 / 倏 / 叔 / 塾 / 夙 / 孰 / 宿 / 淑 / 潚 / 熟 / 琡 / 璹 / 肅 / 菽 / 鷫,1580,160
건,15,True,件 / 健 / 巾 / 建 / 愆 / 揵 / 搴 / 楗 / 腱 / 虔 / 褰 / 謇 / 蹇 / 鍵 / 騫,1331,154
효,15,True,傚 / 効 / 哮 / 嚆 / 囂 / 孝 / 效 / 斅 / 曉 / 梟 / 淆 / 爻 / 肴 / 酵 / 驍,1237,149
패,15,True,佩 / 孛 / 悖 / 敗 / 旆 / 沛 / 浿 / 牌 / 狽 / 珮 / 稗 / 覇 / 貝 / 霈 / 霸,1121,126
함,15,True,㽉 / 函 / 含 / 咸 / 啣 / 喊 / 檻 / 涵 / 琀 / 緘 / 艦 / 諴 / 銜 / 陷 / 鹹,1291,125
궤,15,True,几 / 劂 / 匱 / 憒 / 机 / 樻 / 櫃 / 潰 / 繢 / 詭 / 跪 / 軌 / 闠 / 餽 / 饋,282,38
명,14,True,冥 / 名 / 命 / 明 / 暝 / 溟 / 皿 / 瞑 / 茗 / 蓂 / 螟 / 酩 / 銘 / 鳴,5547,652
심,14,True,審 / 尋 / 心 / 梣 / 沁 / 沈 / 深 / 潯 / 瀋 / 燖 / 甚 / 芯 / 諶 / 沈黙,5123,577
약,14,True,弱 / 掠 / 爚 / 略 / 畧 / 籥 / 約 / 若 / 葯 / 蒻 / 藥 / 躍 / 鑰 / 鰯,4494,525
각,14,True,刻 / 却 / 卻 / 各 / 恪 / 慤 / 擱 / 桷 / 殼 / 珏 / 脚 / 覺 / 角 / 閣,4262,492
내,14,True,乃 / 來 / 內 / 匂 / 唻 / 奈 / 奶 / 嬭 / 崍 / 徠 / 耐 / 萊 / 迺 / 鼐,4562,443
등,14,True,橙 / 滕 / 燈 / 登 / 磴 / 等 / 籐 / 藤 / 螣 / 謄 / 豋 / 鄧 / 鐙 / 騰,3343,364
면,14,True,俛 / 免 / 冕 / 勉 / 棉 / 沔 / 眄 / 眠 / 綿 / 緜 / 緬 / 面 / 麪 / 麵,2757,346
권,14,True,倦 / 券 / 勸 / 卷 / 圈 / 惓 / 拳 / 捲 / 棬 / 權 / 淃 / 眷 / 睠 / 綣,2497,261
폐,14,True,吠 / 嬖 / 幣 / 廢 / 弊 / 敝 / 斃 / 狴 / 獘 / 癈 / 肺 / 蔽 / 閉 / 陛,1670,218
윤,14,True,侖 / 倫 / 允 / 圇 / 奫 / 尹 / 崙 / 淪 / 潤 / 綸 / 胤 / 荺 / 輪 / 閏,1704,192
탄,14,True,呑 / 嘆 / 坦 / 彈 / 憚 / 攤 / 歎 / 殫 / 灘 / 炭 / 癱 / 綻 / 誕 / 驒,1637,178
벽,14,True,僻 / 劈 / 壁 / 擗 / 擘 / 璧 / 甓 / 癖 / 碧 / 蘗 / 襞 / 辟 / 闢 / 霹,932,101
옹,14,True,喁 / 壅 / 擁 / 瓮 / 甕 / 癕 / 癰 / 禺 / 翁 / 蓊 / 邕 / 雍 / 顒 / 饔,437,48
일,13,True,一 / 佚 / 佾 / 劮 / 壹 / 日 / 昵 / 泆 / 溢 / 軼 / 逸 / 鎰 / 馹,10131,1146
변,13,True,便 / 卞 / 弁 / 忭 / 抃 / 籩 / 變 / 辨 / 辮 / 辯 / 邊 / 釆 / 駢,3109,297
열,13,True,冽 / 列 / 劣 / 咽 / 噎 / 悅 / 捩 / 洌 / 涅 / 烈 / 熱 / 裂 / 閱,2877,277
발,13,True,勃 / 拔 / 撥 / 浡 / 渤 / 潑 / 發 / 跋 / 醱 / 鈸 / 鉢 / 髮 / 魃,2252,262
축,13,True,丑 / 畜 / 祝 / 竺 / 筑 / 築 / 縮 / 舳 / 蓄 / 蹙 / 蹴 / 軸 / 逐,1748,186
은,13,True,垠 / 恩 / 慇 / 憖 / 檃 / 殷 / 癮 / 訔 / 訢 / 誾 / 銀 / 隱 / 齗,1454,167
훈,13,True,勛 / 勳 / 塤 / 壎 / 暈 / 曛 / 煇 / 熏 / 燻 / 獯 / 葷 / 薰 / 訓,720,86
첩,13,True,倢 / 喋 / 堞 / 妾 / 帖 / 捷 / 牒 / 疊 / 睫 / 褺 / 諜 / 貼 / 輒,696,85
첨,13,True,僉 / 尖 / 忝 / 沾 / 添 / 甛 / 甜 / 瞻 / 簷 / 簽 / 籤 / 詹 / 諂,597,59
어,12,True,圄 / 圉 / 御 / 於 / 淤 / 漁 / 禦 / 語 / 飫 / 馭 / 魚 / 齬,6579,723
급,12,True,伋 / 及 / 圾 / 岌 / 急 / 扱 / 汲 / 皀 / 笈 / 級 / 給 / 芨,6074,695
세,12,True,世 / 勢 / 帨 / 彗 / 歲 / 洗 / 稅 / 笹 / 細 / 繐 / 蛻 / 貰,4609,499
안,12,True,安 / 岸 / 按 / 晏 / 案 / 犴 / 眼 / 贋 / 雁 / 鞍 / 顔 / 鴈,3321,398
독,12,True,櫝 / 毒 / 瀆 / 牘 / 犢 / 獨 / 督 / 禿 / 篤 / 纛 / 讀 / 黷,2568,281
운,12,True,云 / 殞 / 澐 / 紜 / 耘 / 芸 / 蕓 / 運 / 隕 / 雲 / 韵 / 韻,2402,270
마,12,True,媽 / 摩 / 瑪 / 痲 / 碼 / 磨 / 螞 / 馬 / 魔 / 麻 / 麽 / 麿,1806,205
증,12,True,增 / 憎 / 拯 / 曾 / 烝 / 甑 / 症 / 矰 / 繒 / 蒸 / 證 / 贈,1730,171
침,12,True,侵 / 寢 / 忱 / 枕 / 椹 / 沉 / 浸 / 琛 / 砧 / 針 / 鍼 / 駸,1013,130
채,12,True,債 / 埰 / 寀 / 寨 / 彩 / 採 / 睬 / 砦 / 綵 / 菜 / 蔡 / 采,962,127
괴,12,True,乖 / 傀 / 塊 / 壞 / 媿 / 怪 / 恠 / 愧 / 槐 / 瑰 / 蒯 / 魁,897,103
돈,12,True,噸 / 墩 / 屯 / 惇 / 敦 / 旽 / 暾 / 沌 / 燉 / 豚 / 遯 / 頓,811,102
와,12,True,哇 / 娃 / 渦 / 瓦 / 窩 / 窪 / 臥 / 萵 / 蛙 / 蝸 / 訛 / 譌,660,70
갈,12,True,乫 / 噶 / 曷 / 渴 / 碣 / 竭 / 羯 / 葛 / 蝎 / 褐 / 鞨 / 鶡,508,61
앙,12,True,仰 / 卬 / 央 / 怏 / 昂 / 昻 / 殃 / 泱 / 盎 / 秧 / 鞅 / 鴦,603,46
야,11,True,也 / 倻 / 冶 / 埜 / 夜 / 惹 / 揶 / 椰 / 爺 / 耶 / 野,3115,413
청,11,True,凊 / 圊 / 廳 / 晴 / 淸 / 聽 / 菁 / 蜻 / 請 / 靑 / 鯖,3259,405
승,11,True,丞 / 乘 / 僧 / 勝 / 升 / 塍 / 承 / 昇 / 繩 / 蠅 / 陞,2299,277
외,11,True,偎 / 外 / 嵬 / 巍 / 椳 / 煨 / 猥 / 畏 / 碨 / 磈 / 聵,2209,226
익,11,True,匿 / 弋 / 溺 / 瀷 / 熤 / 益 / 翊 / 翌 / 翼 / 謚 / 鷁,1444,182
합,11,True,合 / 哈 / 榼 / 溘 / 盍 / 盒 / 蛤 / 郃 / 閤 / 闔 / 陜,1593,177
홍,11,True,哄 / 弘 / 汞 / 泓 / 洪 / 烘 / 紅 / 虹 / 訌 / 鬨 / 鴻,1426,175
격,11,True,挌 / 擊 / 格 / 檄 / 激 / 膈 / 覡 / 闃 / 隔 / 骼 / 鬲,1407,152
암,11,True,唵 / 岩 / 巖 / 庵 / 暗 / 癌 / 菴 / 諳 / 頷 / 馣 / 黯,1148,143
번,11,True,幡 / 樊 / 煩 / 燔 / 番 / 繁 / 繙 / 翻 / 蕃 / 藩 / 飜,896,116
이기,11,True,이其 / 而己 / 이起 / 以其 / 而其 / 이旣 / 利己 / 이己 / 理氣 / 李沂 / 李基,1190,105
혼,11,True,俒 / 婚 / 惛 / 昏 / 混 / 渾 / 溷 / 焜 / 琿 / 閽 / 魂,1081,95
