converted_hangul,group_size,exists_in_hangulized_vocab,mixed_tokens_joined,train_frequency_sum,dev_frequency_sum
영,59,True,令 / 伶 / 佞 / 另 / 呤 / 咏 / 嚀 / 囹 / 塋 / 嬰 / 嬴 / 寗 / 寧 / 岺 / 嶸 / 嶺 / 影 / 怜 / 映 / 暎 / 楹 / 榮 / 欞 / 永 / 泠 / 泳 / 渶 / 潁 / 濘 / 濚 / 瀛 / 營 / 獰 / 玲 / 瑛 / 瑩 / 盈 / 穎 / 笭 / 縈 / 纓 / 羚 / 翎 / 聆 / 苓 / 英 / 蛉 / 蠑 / 詠 / 贏 / 迎 / 逞 / 郢 / 鈴 / 零 / 靈 / 韺 / 領 / 齡,7497,895
연,57,True,嚥 / 埏 / 堧 / 姸 / 娟 / 孌 / 宴 / 年 / 延 / 憐 / 戀 / 挻 / 捐 / 掾 / 撚 / 攣 / 椽 / 楝 / 櫞 / 沇 / 沿 / 涎 / 涓 / 淵 / 演 / 漣 / 烟 / 然 / 煉 / 煙 / 燃 / 燕 / 璉 / 硏 / 硯 / 碾 / 秊 / 筵 / 緣 / 練 / 縯 / 聯 / 臙 / 臠 / 莚 / 蓮 / 蠕 / 衍 / 讌 / 軟 / 輦 / 輭 / 連 / 鉛 / 鍊 / 鳶 / 鷰,8936,1018
정,56,True,丁 / 井 / 亭 / 侹 / 停 / 偵 / 叮 / 呈 / 妌 / 婷 / 定 / 庭 / 廷 / 征 / 怔 / 情 / 挺 / 政 / 整 / 旌 / 晶 / 梃 / 楨 / 檉 / 正 / 汀 / 淀 / 淨 / 渟 / 灯 / 珽 / 町 / 疔 / 睛 / 碇 / 禎 / 程 / 穽 / 精 / 艇 / 訂 / 証 / 貞 / 遉 / 鄭 / 酊 / 酲 / 釘 / 鉦 / 錠 / 霆 / 靖 / 靚 / 靜 / 頂 / 鼎,11582,1388
요,55,True,了 / 僚 / 僥 / 凹 / 嘹 / 堯 / 夭 / 妖 / 姚 / 嫋 / 寥 / 寮 / 尿 / 廖 / 徼 / 拗 / 搖 / 撓 / 撩 / 擾 / 料 / 暸 / 曜 / 橈 / 淖 / 澆 / 燎 / 燿 / 瑤 / 療 / 瞭 / 磠 / 穾 / 窅 / 窈 / 窯 / 繚 / 繞 / 耀 / 聊 / 腰 / 膋 / 蓼 / 蕘 / 裊 / 要 / 謠 / 遙 / 遶 / 遼 / 邀 / 醪 / 鐃 / 饒 / 鬧,3480,354
고,53,True,估 / 凅 / 刳 / 古 / 叩 / 告 / 呱 / 固 / 姑 / 孤 / 尻 / 庫 / 拷 / 攷 / 故 / 敲 / 枯 / 栲 / 槀 / 槁 / 沽 / 痼 / 皐 / 盬 / 睾 / 瞽 / 稿 / 篙 / 糕 / 罟 / 羔 / 羖 / 考 / 股 / 胯 / 膏 / 苦 / 苽 / 菰 / 藁 / 蠱 / 袴 / 觚 / 詁 / 誥 / 辜 / 錮 / 雇 / 靠 / 顧 / 高 / 鴣 / 鼓,9186,1020
주,51,True,主 / 住 / 侏 / 做 / 儔 / 冑 / 周 / 呪 / 嗾 / 奏 / 姝 / 宙 / 州 / 幬 / 廚 / 晝 / 朱 / 柱 / 株 / 注 / 洲 / 湊 / 澍 / 炷 / 珘 / 珠 / 疇 / 籌 / 籒 / 紂 / 紬 / 綢 / 肘 / 胄 / 腠 / 舟 / 蔟 / 蛀 / 蛛 / 註 / 誅 / 賙 / 走 / 躊 / 輳 / 週 / 遒 / 酎 / 酒 / 鑄 / 駐,7882,933
경,51,True,京 / 俓 / 傾 / 儆 / 勁 / 勍 / 卿 / 坰 / 境 / 庚 / 徑 / 惸 / 慶 / 憬 / 扃 / 擎 / 敬 / 景 / 暻 / 梗 / 涇 / 烱 / 煢 / 璄 / 璟 / 瓊 / 畊 / 痙 / 硬 / 磬 / 竟 / 競 / 竸 / 絅 / 綆 / 經 / 罄 / 耕 / 耿 / 脛 / 莖 / 警 / 輕 / 逕 / 鏡 / 頃 / 頸 / 駉 / 驚 / 鯨 / 鶊,7238,772
소,50,True,劭 / 召 / 咲 / 嘯 / 塑 / 宵 / 小 / 少 / 巢 / 愬 / 所 / 掃 / 搔 / 昭 / 梳 / 沼 / 消 / 溯 / 瀟 / 炤 / 焇 / 燒 / 甦 / 疎 / 疏 / 瘙 / 穌 / 笑 / 篠 / 簫 / 素 / 紹 / 繅 / 艘 / 蔬 / 蕭 / 蘇 / 蛸 / 訴 / 踈 / 逍 / 遡 / 邵 / 釗 / 銷 / 霄 / 韶 / 騷 / 鰺 / 繳消,9405,997
도,49,True,倒 / 刀 / 到 / 叨 / 圖 / 堵 / 塗 / 導 / 屠 / 島 / 嶋 / 度 / 徒 / 忉 / 悼 / 挑 / 掉 / 搗 / 擣 / 桃 / 棹 / 檮 / 櫂 / 洮 / 淘 / 渡 / 滔 / 濤 / 燾 / 盜 / 睹 / 禱 / 稻 / 菟 / 萄 / 覩 / 賭 / 跳 / 蹈 / 逃 / 途 / 道 / 都 / 鍍 / 闍 / 陶 / 鞱 / 韜 / 饕,9194,1123
호,49,True,乎 / 互 / 冱 / 号 / 呼 / 壕 / 壺 / 好 / 岵 / 弧 / 怙 / 戶 / 扈 / 昊 / 晧 / 毫 / 沍 / 浩 / 湖 / 滬 / 滸 / 澔 / 濠 / 濩 / 灝 / 犒 / 狐 / 琥 / 瑚 / 瓠 / 皓 / 皞 / 祜 / 糊 / 縞 / 胡 / 芦 / 葫 / 蒿 / 虎 / 號 / 蝴 / 護 / 豪 / 醐 / 鎬 / 頀 / 顥 / 鬍,6297,753
