rank,pinyin_form,chinese_forms,group_size,count_or_frequency_if_available,source_file,manual_status
13,fù,付 | 傅 | 副 | 咐 | 复 | 妇 | 富 | 父 | 缚 | 腹 | 蝮 | 覆 | 讣 | 负 | 赋 | 赴 | 阜 | 附 | 馥 | 驸,20,20,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
14,fú,伏 | 佛 | 俘 | 匐 | 孚 | 幅 | 弗 | 扶 | 拂 | 服 | 氟 | 浮 | 涪 | 福 | 符 | 芙 | 苻 | 蝠 | 辐,19,19,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
15,jiàn,件 | 健 | 僭 | 剑 | 建 | 涧 | 渐 | 溅 | 箭 | 腱 | 舰 | 荐 | 见 | 谏 | 贱 | 践 | 鉴 | 键,18,18,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
16,jù,俱 | 具 | 剧 | 句 | 巨 | 惧 | 拒 | 据 | 炬 | 聚 | 苣 | 距 | 踞 | 遽 | 钜 | 锯 | 飓,17,17,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
17,wèi,为 | 位 | 卫 | 味 | 喂 | 尉 | 慰 | 未 | 渭 | 猬 | 畏 | 胃 | 蔚 | 衞 | 谓 | 魏 | 鳚,17,17,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
18,huì,会 | 卉 | 喙 | 彗 | 惠 | 慧 | 晦 | 汇 | 秽 | 绘 | 荟 | 蕙 | 讳 | 诲 | 贿,15,15,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
19,hé,何 | 劾 | 合 | 和 | 核 | 河 | 涸 | 盒 | 禾 | 荷 | 菏 | 阂 | 阖 | 鞨 | 颌,15,15,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
20,líng,〇 | 伶 | 凌 | 灵 | 玲 | 绫 | 羚 | 翎 | 聆 | 苓 | 菱 | 铃 | 陵 | 零 | 龄,15,15,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
21,yuán,元 | 原 | 员 | 园 | 圆 | 垣 | 援 | 沅 | 源 | 猿 | 縁 | 缘 | 螈 | 袁 | 辕,15,15,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
22,yán,严 | 妍 | 岩 | 延 | 檐 | 沿 | 炎 | 盐 | 研 | 筵 | 簷 | 言 | 闫 | 阎 | 颜,15,15,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
23,è,è | 厄 | 噩 | 垩 | 恶 | 扼 | 腭 | 萼 | 轭 | 遏 | 鄂 | 锷 | 颚 | 饿 | 鳄,15,15,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
24,lí,厘 | 喱 | 梨 | 漓 | 犁 | 狸 | 璃 | 离 | 篱 | 罹 | 藜 | 蠡 | 骊 | 黎,14,14,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
25,xiāo,哮 | 嚣 | 宵 | 枭 | 消 | 潇 | 硝 | 箫 | 萧 | 逍 | 销 | 霄 | 骁 | 鸮,14,14,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
26,xù,勖 | 叙 | 婿 | 序 | 恤 | 敍 | 旭 | 溆 | 煦 | 絮 | 绪 | 续 | 蓄 | 酗,14,14,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
27,yàn,厌 | 咽 | 唁 | 堰 | 宴 | 彦 | 晏 | 焰 | 燕 | 砚 | 艳 | 谚 | 雁 | 验,14,14,/Users/crisp/Desktop/code_field/python/Chinese_Latinization_NLP/1.Tokenization/decoded_superTokenizers_2048_subset100k/table2/table2_ad_overlap_superBPE_outputs/table2_ad_overlap_superBPE_details.csv,needs_manual_genuine_homophone_check
