model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,11,yi wei,55,0.5001,0.5059,0.7538,0.8045,乙未|意为,0.2095,以为|已为,一为 / 一位 / 乙未 / 亦为 / 亦未 / 以为 / 已为 / 意为 / 意味 / 易危 / 译为
shibing624/text2vec-base-chinese,11,yi yu,55,0.5213,0.4852,0.8284,0.8735,已于|彝语,0.0969,亦与|亦于,一遇 / 亦与 / 亦于 / 伊予 / 已与 / 已于 / 异于 / 彝语 / 意欲 / 抑郁 / 易于
shibing624/text2vec-base-chinese,12,shi wei,66,0.4958,0.5311,0.6237,0.6959,氏为|示威,0.1839,时为|是为,侍卫 / 士威 / 实为 / 市委 / 式为 / 式微 / 时为 / 是为 / 是位 / 氏为 / 示威 / 视为
shibing624/text2vec-base-chinese,12,you yi,66,0.4685,0.4562,0.6315,0.6595,友谊|有异,0.1991,又一|有一,优异 / 又一 / 又以 / 又译 / 友宜 / 友谊 / 右翼 / 尤以 / 有一 / 有异 / 有意 / 有益
shibing624/text2vec-base-chinese,13,qi shi,78,0.5931,0.6255,0.7427,0.8166,其实|棋士,0.1611,骑士|骑师,七世 / 七十 / 其事 / 其实 / 其时 / 启示 / 棋士 / 歧视 / 气势 / 起事 / 起始 / 骑士 / 骑师
shibing624/text2vec-base-chinese,13,shi de,78,0.4336,0.4357,0.5181,0.6162,实的|氏的,0.2608,使得|式的,世的 / 事的 / 使得 / 士的 / 实的 / 室的 / 市的 / 师的 / 式的 / 时的 / 是的 / 氏的 / 石的
shibing624/text2vec-base-chinese,13,shi shi,78,0.5985,0.6423,0.7331,0.8227,失事|实施,0.218,事实|史实,事实 / 十世 / 史实 / 史诗 / 失事 / 失势 / 实施 / 实时 / 时事 / 时是 / 石狮 / 适时 / 逝世
shibing624/text2vec-base-chinese,13,shi yi,78,0.5502,0.5913,0.703,0.8028,释义|食邑,0.1766,是一|是以,事宜 / 十一 / 失忆 / 拾遗 / 施以 / 时以 / 时已 / 是一 / 是以 / 示意 / 适宜 / 释义 / 食邑
shibing624/text2vec-base-chinese,14,zhi shi,91,0.4519,0.4723,0.57,0.6147,只是|执事,0.2028,指使|指示,之事 / 之势 / 之士 / 之始 / 之时 / 制式 / 只是 / 执事 / 指使 / 指示 / 知事 / 知识 / 致仕 / 致使
shibing624/text2vec-base-chinese,16,shi ji,120,0.5504,0.555,0.6717,0.8113,史记|室及,0.1751,事记|事迹,世纪 / 事记 / 事迹 / 十几 / 史籍 / 史记 / 史迹 / 实际 / 室及 / 市及 / 市级 / 市集 / 时机 / 是继 / 试剂 / 诗集
shibing624/text2vec-base-chinese,17,ji shi,136,0.5452,0.5589,0.6309,0.6906,机师|集市,0.2071,纪事|纪实,几十 / 即使 / 即时 / 即是 / 及时 / 吉士 / 基石 / 技师 / 既是 / 机师 / 积士 / 级时 / 纪事 / 纪实 / 计时 / 记事 / 集市
shibing624/text2vec-base-chinese,17,yi zhi,136,0.5218,0.5343,0.6653,0.7248,一支|益智,0.1447,以至|以致,一只 / 一支 / 一直 / 一职 / 一至 / 一致 / 以至 / 以致 / 医治 / 已知 / 意志 / 意指 / 抑制 / 益智 / 移植 / 移至 / 遗址
shibing624/text2vec-base-chinese,21,yi shi,210,0.5167,0.5378,0.6451,0.7254,医师|异世,0.1871,亦是|已是,一世 / 一事 / 一师 / 一时 / 一是 / 亦是 / 以使 / 以十 / 以示 / 仪式 / 伊势 / 伊士 / 伊始 / 医师 / 已是 / 异世 / 意识 / 移师 / 议事 / 轶事 / 遗失
