pinyin_token,N,BGE_mean_dist,text2vec_mean_dist
ALL,ALL,0.4831,0.4991
ta de,5,0.393,0.4085
an jian,3,0.5895,0.6556
dian shi,3,0.6108,0.6449
fu shi,7,0.6374,0.6141
lie shi,3,0.6497,0.6797
yu shi,8,0.6051,0.6227
gong shi,11,0.5304,0.5649
xing shi,8,0.5039,0.5786
qi shi,13,0.5927,0.5931
jing li,5,0.5553,0.5682
RANDOM_BASELINE_collision_source_random_pairs,10000 sampled pairs,0.634,0.6013
RANDOM_BASELINE_chinese_vocab_random_pairs,10000 sampled pairs,0.6505,0.6224
