model,baseline,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair
BAAI/bge-small-zh-v1.5,collision_source_random_pairs,10000,0.6303,0.6397,0.7154,0.8442,柯克|集权,0.2021,中对|是中
BAAI/bge-small-zh-v1.5,chinese_vocab_random_pairs,10000,0.6503,0.659,0.7386,0.8998,儒学|美少女游戏,0.1077,当地共有人口|当地共有人口9
