model,N,pinyin_token,pair_count,mean_dist,median_dist,p90_dist,max_dist,max_pair,min_dist,min_pair,source_tokens
shibing624/text2vec-base-chinese,2,N=2,1657,0.4312,0.4451,0.6396,0.9099,dé yǐ (N=2),0.0164,huò qí tā (N=2),equal-weight mean over filtered N=2 collision groups
shibing624/text2vec-base-chinese,3,N=3,198,0.4554,0.4642,0.6038,0.7103,yī fú (N=3),0.0904,dàn tā (N=3),equal-weight mean over filtered N=3 collision groups
shibing624/text2vec-base-chinese,4,N=4,30,0.4565,0.5032,0.5888,0.6659,qí shì (N=4),0.1837,ài lì (N=4),equal-weight mean over filtered N=4 collision groups
shibing624/text2vec-base-chinese,5,N=5,11,0.4729,0.4652,0.5329,0.5487,xiàn zhì (N=5),0.4027,shì hé (N=5),equal-weight mean over filtered N=5 collision groups
shibing624/text2vec-base-chinese,6,N=6,3,0.53,0.5556,0.5608,0.5621,zhèng shì (N=6),0.4724,shì wèi (N=6),equal-weight mean over filtered N=6 collision groups
shibing624/text2vec-base-chinese,8,N=8,1,0.4323,0.4323,0.4323,0.4323,shì de (N=8),0.4323,shì de (N=8),equal-weight mean over filtered N=8 collision groups
shibing624/text2vec-base-chinese,ALL,ALL,1900,0.4345,0.45,0.6358,0.9099,dé yǐ (N=2),0.0164,huò qí tā (N=2),equal-weight mean over filtered N>1 collision groups
