run_id,script,representation,regime,seed,config_path,output_dir,tokenizer,train_data,valid_data,max_steps,tokens_per_update,expected_tokens_seen,expected_train_passes_source,expected_parameter_count,notes
diacritic_125m_b1024_matched_data_4epoch_seed43,step5_train_lm_formal.py,Pinyin-Diacritic,matched-data source-exposure,43,configs/robustness/diacritic_125m_b1024_matched_data_4epoch_seed43.yaml,outputs/diacritic_125m_b1024_matched_data_4epoch_seed43,tokenizers/pinyin_diacritic_32k_eos,data/tokenized/diacritic_train_full_eos_1024,data/tokenized/diacritic_valid_full_eos_1024,29764,65536,1950613504,4.0,134107392,Extra seed replicate for Pinyin-Diacritic matched-data source-exposure control.
diacritic_125m_b1024_matched_data_4epoch_seed44,step5_train_lm_formal.py,Pinyin-Diacritic,matched-data source-exposure,44,configs/robustness/diacritic_125m_b1024_matched_data_4epoch_seed44.yaml,outputs/diacritic_125m_b1024_matched_data_4epoch_seed44,tokenizers/pinyin_diacritic_32k_eos,data/tokenized/diacritic_train_full_eos_1024,data/tokenized/diacritic_valid_full_eos_1024,29764,65536,1950613504,4.0,134107392,Extra seed replicate for Pinyin-Diacritic matched-data source-exposure control.
