N,pair_index_within_N,d_token,source_token_count_for_pair,a_tokens_json
2,114,bǎo ān,2,"[""保安"", ""宝安""]"
2,115,bǐ jì,2,"[""笔记"", ""笔迹""]"
2,116,bǐ lì,2,"[""比例"", ""比利""]"
2,117,bǐ tè,2,"[""彼特"", ""比特""]"
2,118,bǔ shí,2,"[""捕食"", ""补时""]"
2,119,chuàn,2,"[""串"", ""钏""]"
2,120,chuàn lián,2,"[""串联"", ""串连""]"
2,121,chuán dào,2,"[""传到"", ""传道""]"
2,122,chuáng,2,"[""幢"", ""床""]"
2,123,chuò,2,"[""绰"", ""辍""]"
2,124,chuān shàng,2,"[""川上"", ""穿上""]"
2,125,chuāng,2,"[""疮"", ""窗""]"
2,126,chuī,2,"[""吹"", ""炊""]"
2,127,chà,2,"[""岔"", ""差""]"
2,128,chàn,2,"[""忏"", ""颤""]"
2,129,chái,2,"[""侪"", ""柴""]"
2,130,cháng bèi,2,"[""常备"", ""常被""]"
2,131,cháng nián,2,"[""常年"", ""长年""]"
2,132,cháng shì,2,"[""尝试"", ""常侍""]"
2,133,cháng shí,2,"[""常识"", ""长石""]"
2,134,cháng zhù,2,"[""常住"", ""常驻""]"
2,135,chè xiāo,2,"[""撤消"", ""撤销""]"
2,136,chèn,2,"[""衬"", ""趁""]"
2,137,chén jiā,2,"[""陈嘉"", ""陈家""]"
2,138,chén mò,2,"[""沉没"", ""沉默""]"
2,139,chén shì,2,"[""陈世"", ""陈氏""]"
2,140,chén xiǎo,2,"[""陈小"", ""陈晓""]"
2,141,chén yì,2,"[""陈奕"", ""陈毅""]"
2,142,chéng de,2,"[""城的"", ""成的""]"
2,143,chéng fèn,2,"[""成份"", ""成分""]"
2,144,chéng jiāo,2,"[""城郊"", ""成交""]"
2,145,chéng jī,2,"[""乘机"", ""乘积""]"
2,146,chéng rén,2,"[""城人"", ""成人""]"
2,147,chéng shì,2,"[""城市"", ""程式""]"
2,148,chéng xiàn,2,"[""呈现"", ""城县""]"
2,149,chéng xiàng,2,"[""丞相"", ""成像""]"
2,150,chéng xíng,2,"[""成型"", ""成形""]"
2,151,chéng zhì,2,"[""惩治"", ""承志""]"
2,152,chóng,2,"[""崇"", ""虫""]"
2,153,chù jí,2,"[""处级"", ""触及""]"
2,154,chā,2,"[""叉"", ""插""]"
2,155,chēn,2,"[""琛"", ""郴""]"
2,156,chēng,2,"[""撑"", ""称""]"
2,157,chēng zuò,2,"[""称作"", ""称做""]"
2,158,chī,2,"[""吃"", ""痴""]"
2,159,chōng jī,2,"[""冲击"", ""冲积""]"
2,160,chū,2,"[""出"", ""初""]"
2,161,chū bǎn,2,"[""出版"", ""初版""]"
2,162,chū chǎng,2,"[""出厂"", ""出场""]"
2,163,chū de,2,"[""出的"", ""初的""]"
2,164,chū jìng,2,"[""出境"", ""出镜""]"
2,165,chū míng,2,"[""出名"", ""初名""]"
2,166,chū rèn,2,"[""出任"", ""初任""]"
2,167,chū shòu,2,"[""出售"", ""初授""]"
2,168,chū shǐ,2,"[""出使"", ""初始""]"
2,169,chū wèi,2,"[""出为"", ""初为""]"
2,170,chū xiàn,2,"[""出现"", ""出线""]"
2,171,chū xuǎn,2,"[""出选"", ""初选""]"
2,172,chū yī,2,"[""出一"", ""初一""]"
2,173,chū zhàn,2,"[""出战"", ""出站""]"
2,174,chū zhōng,2,"[""初中"", ""初衷""]"
2,175,chūn,2,"[""春"", ""椿""]"
2,176,chǎng de,2,"[""厂的"", ""场的""]"
2,177,chǎng hé,2,"[""场合"", ""场和""]"
2,178,chǎo,2,"[""吵"", ""炒""]"
2,179,chǔ yú,2,"[""处于"", ""楚瑜""]"
2,180,cuàn,2,"[""窜"", ""篡""]"
2,181,cuò shī,2,"[""措施"", ""错失""]"
2,182,cuō,2,"[""撮"", ""磋""]"
2,183,cài,2,"[""菜"", ""蔡""]"
2,184,cái wù,2,"[""财务"", ""财物""]"
2,185,céng,2,"[""层"", ""曾""]"
2,186,céng wèi,2,"[""层为"", ""曾为""]"
2,187,céng yīn,2,"[""曾因"", ""曾荫""]"
2,188,cì kè,2,"[""刺客"", ""次克""]"
2,189,cì míng,2,"[""次名"", ""赐名""]"
2,190,cí diǎn,2,"[""词典"", ""辞典""]"
2,191,cí huì,2,"[""词汇"", ""辞汇""]"
2,192,cí xìng,2,"[""磁性"", ""雌性""]"
2,193,cùn,2,"[""吋"", ""寸""]"
2,194,cān,2,"[""参"", ""餐""]"
2,195,cāo,2,"[""操"", ""糙""]"
2,196,cūn,2,"[""村"", ""邨""]"
2,197,cǐ qū,2,"[""此区"", ""此曲""]"
2,198,cǐ zhàn,2,"[""此战"", ""此站""]"
2,199,de,2,"[""de"", ""的""]"
2,200,de bù fèn,2,"[""的部份"", ""的部分""]"
2,201,de dì,2,"[""的地"", ""的第""]"
2,202,de dì yī bù,2,"[""的第一步"", ""的第一部""]"
2,203,de hé,2,"[""的和"", ""的核""]"
2,204,de jiā,2,"[""的加"", ""的家""]"
2,205,de jì lù,2,"[""的纪录"", ""的记录""]"
2,206,de jī,2,"[""的基"", ""的机""]"
2,207,de nán,2,"[""的南"", ""的男""]"
2,208,de qián,2,"[""的前"", ""的钱""]"
2,209,de quán lì,2,"[""的权利"", ""的权力""]"
2,210,de shì,2,"[""的事"", ""的是""]"
2,211,de shēn fèn,2,"[""的身份"", ""的身分""]"
2,212,de shǒu,2,"[""的手"", ""的首""]"
2,213,de wú,2,"[""的吴"", ""的无""]"
2,214,de xīn,2,"[""的心"", ""的新""]"
2,215,de yuán,2,"[""的原"", ""的圆""]"
2,216,de yì,2,"[""的义"", ""的异""]"
2,217,de yī,2,"[""的一"", ""的伊""]"
2,218,de yī bù fèn,2,"[""的一部份"", ""的一部分""]"
2,219,de yī fú,2,"[""的一幅"", ""的衣服""]"
2,220,de yī kē,2,"[""的一科"", ""的一颗""]"
2,221,de zì,2,"[""的字"", ""的自""]"
2,222,diàn chǎng,2,"[""电厂"", ""电场""]"
2,223,diàn gōng,2,"[""电工"", ""电弓""]"
2,224,diàn nèi,2,"[""店内"", ""殿内""]"
2,225,diàn pù,2,"[""店舖"", ""店铺""]"
2,226,diàn qì,2,"[""电器"", ""电气""]"
2,227,diàn shì,2,"[""殿试"", ""电视""]"
2,228,diàn yuán,2,"[""店员"", ""电源""]"
2,229,diē,2,"[""爹"", ""跌""]"
2,230,duì qí,2,"[""对其"", ""对齐""]"
2,231,duì tā,2,"[""对他"", ""对她""]"
2,232,duì tā de,2,"[""对他的"", ""对她的""]"
2,233,duì xiàng,2,"[""对向"", ""对象""]"
2,234,duì yìng,2,"[""对应"", ""对映""]"
2,235,duó,2,"[""夺"", ""铎""]"
2,236,duō fú,2,"[""多佛"", ""多福""]"
2,237,duō míng,2,"[""多名"", ""多明""]"
2,238,duō wèi,2,"[""多为"", ""多位""]"
2,239,duō yú,2,"[""多于"", ""多余""]"
2,240,dà bù,2,"[""大埔"", ""大部""]"
2,241,dà bù fèn,2,"[""大部份"", ""大部分""]"
2,242,dà bù fèn de,2,"[""大部份的"", ""大部分的""]"
2,243,dà bǎn,2,"[""大坂"", ""大阪""]"
2,244,dà chén,2,"[""大臣"", ""大陈""]"
2,245,dà dì,2,"[""大地"", ""大帝""]"
2,246,dà fú,2,"[""大佛"", ""大幅""]"
2,247,dà guān,2,"[""大关"", ""大观""]"
2,248,dà gōng,2,"[""大公"", ""大宫""]"
2,249,dà hán,2,"[""大汗"", ""大韩""]"
2,250,dà hé,2,"[""大和"", ""大河""]"
2,251,dà jiā,2,"[""大加"", ""大家""]"
2,252,dà jiāng,2,"[""大江"", ""大疆""]"
2,253,dà jūn,2,"[""大军"", ""大君""]"
2,254,dà lù,2,"[""大路"", ""大陆""]"
2,255,dà lǐ,2,"[""大理"", ""大里""]"
2,256,dà míng,2,"[""大名"", ""大明""]"
2,257,dà quán,2,"[""大全"", ""大权""]"
2,258,dà shè,2,"[""大社"", ""大赦""]"
2,259,dà shèng,2,"[""大圣"", ""大胜""]"
2,260,dà shí,2,"[""大时"", ""大石""]"
2,261,dà sì,2,"[""大寺"", ""大肆""]"
2,262,dà táng,2,"[""大唐"", ""大堂""]"
2,263,dà wèi,2,"[""大为"", ""大卫""]"
2,264,dà wéi,2,"[""大围"", ""大维""]"
2,265,dà xiàng,2,"[""大象"", ""大项""]"
2,266,dà xiào,2,"[""大校"", ""大笑""]"
2,267,dà xióng,2,"[""大熊"", ""大雄""]"
2,268,dà yuán,2,"[""大元"", ""大员""]"
2,269,dà yì,2,"[""大义"", ""大意""]"
2,270,dà yǒu,2,"[""大友"", ""大有""]"
2,271,dà yǔ,2,"[""大宇"", ""大雨""]"
2,272,dài de,2,"[""代的"", ""带的""]"
2,273,dài fū,2,"[""代夫"", ""戴夫""]"
2,274,dài rù,2,"[""代入"", ""带入""]"
2,275,dài shàng,2,"[""带上"", ""戴上""]"
2,276,dài wéi,2,"[""代为"", ""戴维""]"
2,277,dài zhe,2,"[""带着"", ""戴着""]"
2,278,dài zhù,2,"[""带著"", ""戴著""]"
2,279,dài ěr,2,"[""代尔"", ""戴尔""]"
2,280,dàn chū,2,"[""弹出"", ""淡出""]"
2,281,dàn dào,2,"[""但到"", ""弹道""]"
2,282,dàn huà,2,"[""氮化"", ""淡化""]"
2,283,dàn tā men,2,"[""但他们"", ""但它们""]"
